Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*
1/05/2023;FRUTAS;Banano criollo;Manizales, Centro Galerías;1.578
1/09/2023;VERDURAS Y HORTALIZAS;Pimentón;"Medellín, Plaza Minorista ""José María Villa""";1.578
1/09/2023;TUBERCULOS, RAICES Y PLATANOS;Papa capira;La Unión (Antioquia);1.578
1/10/2023;FRUTAS;Gulupa;Peñol (Antioquia);1.578
1/12/2023;FRUTAS;Papaya Maradol;Cartago (Valle del Cauca);1.578
1/03/2023;VERDURAS Y HORTALIZAS;Coles;"Medellín, Plaza Minorista ""José María Villa""";1.577
1/03/2023;TUBERCULOS, RAICES Y PLATANOS;Papa parda pastusa;Pereira, Mercasa;1.577
1/06/2023;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Santa Marta (Magdalena);1.577
1/10/2023;VERDURAS Y HORTALIZAS;Calabacín;Medellín, Central Mayorista de Antioquia;1.577
1/10/2023;VERDURAS Y HORTALIZAS;Chócolo mazorca;Villavicencio, CAV;1.577
1/10/2023;VERDURAS Y HORTALIZAS;Zanahoria;Valledupar, Mercabastos;1.577
1/12/2023;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Tunja, Complejo de Servicios del Sur;1.577
1/06/2023;VERDURAS Y HORTALIZAS;Chócolo mazorca;Bogotá, D.C., Corabastos;1.576
1/06/2023;TUBERCULOS, RAICES Y PLATANOS;Papa superior;Cúcuta, Cenabastos;1.576
1/07/2023;FRUTAS;Limón común;Bucaramanga, Centroabastos;1.576
1/09/2023;VERDURAS Y HORTALIZAS;Repollo blanco;Pereira, Mercasa;1.576
1/01/2023;FRUTAS;Naranja Sweet;Armenia, Mercar;1.575
1/01/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Ipiales (Nariño), Centro de acopio;1.575
1/01/2023;PROCESADOS;Sal yodada;Santa Marta (Magdalena);1.575
1/02/2023;FRUTAS;Naranja Sweet;Armenia, Retiro;1.575
1/04/2023;TUBERCULOS, RAICES Y PLATANOS;Papa parda pastusa;Socorro (Santander);1.575
1/05/2023;FRUTAS;Papaya Maradol;San Gil (Santander);1.575
1/09/2023;VERDURAS Y HORTALIZAS;Pepino cohombro;Barranquilla, Granabastos;1.575
1/09/2023;FRUTAS;Papaya tainung;Santa Marta (Magdalena);1.575
1/09/2023;TUBERCULOS, RAICES Y PLATANOS;Papa capira;Manizales, Centro Galerías;1.575
1/09/2023;TUBERCULOS, RAICES Y PLATANOS;Papa R-12 negra;Manizales, Centro Galerías;1.575
1/01/2023;FRUTAS;Naranja Sweet;Popayán, Plaza de mercado del barrio Bolívar;1.574
1/01/2023;FRUTAS;Piña manzana;Cali, Santa Elena;1.574
1/01/2023;FRUTAS;Piña perolera;Tibasosa (Boyacá), Coomproriente;1.574
1/03/2023;VERDURAS Y HORTALIZAS;Ahuyama;Montería, Mercado del Sur;1.574
1/07/2023;VERDURAS Y HORTALIZAS;Pimentón;Chiquinquirá (Boyacá);1.574
1/08/2023;FRUTAS;Banano Urabá;"Medellín, Plaza Minorista ""José María Villa""";1.574
1/09/2023;FRUTAS;Curuba;Pamplona (Norte de Santander);1.574
1/02/2023;VERDURAS Y HORTALIZAS;Pepino cohombro;Cali, Santa Elena;1.573
1/02/2023;VERDURAS Y HORTALIZAS;Repollo blanco;Villavicencio, CAV;1.573
1/11/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Barranquilla, Barranquillita;1.573
1/05/2023;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Neiva, Surabastos;1.572
1/06/2023;VERDURAS Y HORTALIZAS;Zanahoria;Duitama (Boyacá), Mercaplaza;1.572
1/09/2023;FRUTAS;Naranja Sweet;Bogotá, D.C., Corabastos;1.572
1/09/2023;FRUTAS;Naranja Valencia;Bogotá, D.C., Corabastos;1.572
1/11/2023;VERDURAS Y HORTALIZAS;Lechuga Batavia;Cúcuta, Cenabastos;1.572
1/04/2023;VERDURAS Y HORTALIZAS;Apio;Pamplona (Norte de Santander);1.571
1/04/2023;VERDURAS Y HORTALIZAS;Pepino cohombro;Santa Marta (Magdalena);1.571
1/05/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Barranquilla, Granabastos;1.571
1/11/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Bogotá, D.C., Corabastos;1.571
1/12/2023;FRUTAS;Banano criollo;Cali, Cavasa;1.571
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Montería, Mercado del Sur;1.570
1/01/2023;VERDURAS Y HORTALIZAS;Pepino de rellenar;Ibagué, Plaza La 21;1.570
1/04/2023;FRUTAS;Naranja Valencia;Bucaramanga, Mercados del centro;1.570
1/11/2023;VERDURAS Y HORTALIZAS;Repollo blanco;Cartago (Valle del Cauca);1.570
1/12/2023;TUBERCULOS, RAICES Y PLATANOS;Papa superior;Ipiales (Nariño), Ipiales somos todos;1.570
1/01/2023;VERDURAS Y HORTALIZAS;Lechuga Batavia;Palmira (Valle del Cauca);1.569
1/01/2023;FRUTAS;Ciruela roja;Tunja, Complejo de Servicios del Sur;1.569
1/02/2023;VERDURAS Y HORTALIZAS;Apio;Montería, Mercado del Sur;1.569
1/03/2023;VERDURAS Y HORTALIZAS;Ahuyama;Cúcuta, Cenabastos;1.569
1/03/2023;FRUTAS;Naranja Sweet;Pasto, El Potrerillo;1.569
1/08/2023;VERDURAS Y HORTALIZAS;Apio;Barranquilla, Granabastos;1.569
1/12/2023;FRUTAS;Naranja Sweet;Pereira, La 41;1.569
1/03/2023;FRUTAS;Naranja Valencia;Túquerres (Nariño);1.568
1/08/2023;PROCESADOS;Vinagre;Santa Marta (Magdalena);1.568
1/09/2023;VERDURAS Y HORTALIZAS;Pepino cohombro;Barranquilla, Barranquillita;1.568
1/09/2023;VERDURAS Y HORTALIZAS;Pimentón;San Gil (Santander);1.568
1/09/2023;FRUTAS;Tomate de árbol;Rionegro (Antioquia);1.568
1/11/2023;FRUTAS;Guayaba pera;Cúcuta, Cenabastos;1.568
1/01/2023;FRUTAS;Mango Tommy;Ibagué, Plaza La 21;1.567
1/05/2023;FRUTAS;Naranja común;Montería, Mercado del Sur;1.567
1/06/2023;TUBERCULOS, RAICES Y PLATANOS;Papa superior;Pamplona (Norte de Santander);1.567
